Geo Point,Geo Shape,gares_id,nom_long,nom_so_gar,nom_su_gar,id_ref_ZdC,nom_ZdC,id_ref_ZdA,nom_ZdA,idrefliga,idrefligc,res_com,indice_lig,mode_,tertrain,terrer,termetro,tertram,terval,exploitant,idf,principal,x,y,picto ligne,nom_iv
"48.83593030194427, 2.3525422662627014","{""coordinates"": [2.352542266262701, 48.83593030194427], ""type"": ""Point""}",459,Les Gobelins,,,71076,Les Gobelins,43737,Les Gobelins,A01540,C01377,METRO 7,7,METRO,0,0,0,0,0,RATP,1,0,652475.29,6859736.7848,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/0b6c43f2294318bf37466cef3a6c001a,Les Gobelins
"48.888706018840786, 2.2880836330485033","{""coordinates"": [2.288083633048503, 48.888706018840786], ""type"": ""Point""}",478,Louise Michel,,,73667,Louise Michel,51613,Louise Michel,A01536,C01373,METRO 3,3,METRO,0,0,0,0,0,RATP,1,0,647796.9264,6865645.6998,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f78ce6bd7997c9c645e25ebdc320ff0a,Louise Michel
"48.86525378511986, 2.3745819699964117","{""coordinates"": [2.374581969996412, 48.86525378511986], ""type"": ""Point""}",625,Parmentier,,,71801,Parmentier,58725,Parmentier,A01536,C01373,METRO 3,3,METRO,0,0,0,0,0,RATP,1,0,654118.8397,6862984.2509,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f78ce6bd7997c9c645e25ebdc320ff0a,Parmentier
"48.84287127407178, 2.312447513065986","{""coordinates"": [2.312447513065986, 48.84287127407178], ""type"": ""Point""}",628,Pasteur,,,71125,Pasteur,44273,Pasteur,A01545,C01382,METRO 12,12,METRO,0,0,0,0,0,RATP,1,0,649539.0462,6860533.4239,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/5629d91af00c9f8af73e2b4cfdbcbb49,Pasteur
"48.83422588174329, 2.3186164144253834","{""coordinates"": [2.318616414425383, 48.83422588174329], ""type"": ""Point""}",636,Pernety,,,412687,Pernety,44316,Pernety,A01546,C01383,METRO 13,13,METRO,0,0,0,0,0,RATP,1,0,649983.4886,6859568.2262,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1,Pernety
"48.883804527099414, 2.3272434105874056","{""coordinates"": [2.327243410587406, 48.883804527099414], ""type"": ""Point""}",648,Place de Clichy,,,71435,Place de Clichy,44372,Place de Clichy,A01546,C01383,METRO 13,13,METRO,0,0,0,0,0,RATP,1,0,650663.7013,6865075.5065,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1,Place de Clichy
"48.83111265944071, 2.3297050126201837","{""coordinates"": [2.329705012620184, 48.83111265944071], ""type"": ""Point""}",573,Mouton-Duvernet,,,73653,Mouton Duvernet,44183,Mouton Duvernet,A01537,C01374,METRO 4,4,METRO,0,0,0,0,0,RATP,1,0,650794.4816,6859215.1047,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/40edb03ba8639ac2542ee899469bacdb,Mouton-Duvernet
"48.8449426324914, 2.3287780268900797","{""coordinates"": [2.32877802689008, 48.8449426324914], ""type"": ""Point""}",601,Notre-Dame-des-Champs,,,71138,Notre-Dame-des-Champs,44211,Notre-Dame-des-Champs,A01545,C01382,METRO 12,12,METRO,0,0,0,0,0,RATP,1,0,650739.5063,6860753.4256,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/5629d91af00c9f8af73e2b4cfdbcbb49,Notre-Dame-des-Champs
"48.87048333199217, 2.331186346851651","{""coordinates"": [2.331186346851651, 48.87048333199217], ""type"": ""Point""}",608,Opéra,,,71337,Opéra,42237,Opéra,A01541,C01378,METRO 8,8,METRO,0,0,0,0,0,RATP,1,0,650940.3015,6863591.8253,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/fc7c7039b5a3e79675aeb4d59dce6f51,Opéra
"48.81987622012246, 2.3645319531092004","{""coordinates"": [2.3645319531092, 48.81987622012246], ""type"": ""Point""}",687,Porte de Choisy,,,70604,Porte de Choisy,44513,Porte de Choisy,A01540,C01377,METRO 7,7,METRO,0,0,0,0,0,RATP,1,0,653340.9724,6857944.6053,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/0b6c43f2294318bf37466cef3a6c001a,Porte de Choisy
