date,NO,NO2,CO2,PM10,TEMP,HUMI,Month,Date,Saison
2018-03-21T23:00:00+01:00,5.416666666666667,24.958333333333332,0.0,29.416666666666668,7.333333333333333,20.829166666666666,March,2018-03-21,Spring
2018-03-22T23:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,March,2018-03-22,Spring
2018-03-23T23:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,March,2018-03-23,Spring
2018-03-24T23:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,March,2018-03-24,Spring
2018-03-25T23:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,March,2018-03-25,Spring
2018-03-26T23:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,March,2018-03-26,Spring
2018-03-27T23:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,March,2018-03-27,Spring
2018-03-28T23:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,March,2018-03-28,Spring
2018-03-29T23:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,March,2018-03-29,Spring
2018-03-30T23:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,March,2018-03-30,Spring
2018-03-31T23:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,March,2018-03-31,Spring
2018-04-01T23:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,April,2018-04-01,Spring
2018-04-02T23:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,April,2018-04-02,Spring
2018-04-03T23:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,April,2018-04-03,Spring
2018-04-04T23:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,April,2018-04-04,Spring
2018-04-05T23:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,April,2018-04-05,Spring
2018-04-06T23:00:00+02:00,5.625,17.875,0.0,27.25,5.208333333333333,13.6,April,2018-04-06,Spring
2018-04-07T23:00:00+02:00,18.375,55.541666666666664,0.0,46.458333333333336,17.895833333333332,51.300000000000004,April,2018-04-07,Spring
2018-04-08T23:00:00+02:00,8.5,36.666666666666664,0.0,41.291666666666664,18.879166666666666,53.4,April,2018-04-08,Spring
2018-04-09T23:00:00+02:00,37.125,49.166666666666664,322.875,109.54166666666667,19.008333333333333,56.75833333333333,April,2018-04-09,Spring
2018-04-10T23:00:00+02:00,16.333333333333332,42.666666666666664,568.8333333333334,120.04166666666667,18.316666666666666,54.270833333333336,April,2018-04-10,Spring
2018-04-11T23:00:00+02:00,23.916666666666668,51.708333333333336,548.9166666666666,129.70833333333334,18.604166666666668,42.108333333333334,April,2018-04-11,Spring
2018-04-12T23:00:00+02:00,33.291666666666664,49.208333333333336,535.2916666666666,109.66666666666667,18.545833333333334,50.387499999999996,April,2018-04-12,Spring
2018-04-13T23:00:00+02:00,25.791666666666668,51.583333333333336,505.4583333333333,93.79166666666667,18.145833333333332,56.37916666666666,April,2018-04-13,Spring
2018-04-14T23:00:00+02:00,52.875,68.58333333333333,504.0833333333333,46.208333333333336,18.383333333333333,54.199999999999996,April,2018-04-14,Spring
2018-04-15T23:00:00+02:00,18.75,51.208333333333336,471.0833333333333,32.291666666666664,18.358333333333334,54.82916666666667,April,2018-04-15,Spring
2018-04-16T23:00:00+02:00,19.833333333333332,50.458333333333336,476.8333333333333,40.583333333333336,18.216666666666665,45.62916666666666,April,2018-04-16,Spring
2018-04-17T23:00:00+02:00,44.291666666666664,71.125,493.125,51.958333333333336,18.845833333333335,43.083333333333336,April,2018-04-17,Spring
2018-04-18T23:00:00+02:00,78.95833333333333,86.95833333333333,502.9583333333333,60.833333333333336,20.804166666666667,42.170833333333334,April,2018-04-18,Spring
2018-04-19T23:00:00+02:00,36.583333333333336,81.33333333333333,493.375,62.125,22.47083333333333,40.295833333333334,April,2018-04-19,Spring
2018-04-20T23:00:00+02:00,93.20833333333333,87.75,506.2916666666667,70.29166666666667,23.616666666666664,43.75416666666666,April,2018-04-20,Spring
2018-04-21T23:00:00+02:00,5.291666666666667,54.708333333333336,465.75,43.583333333333336,24.2,39.920833333333334,April,2018-04-21,Spring
2018-04-22T23:00:00+02:00,11.625,61.833333333333336,471.75,51.875,24.400000000000002,41.887499999999996,April,2018-04-22,Spring
2018-04-23T23:00:00+02:00,11.791666666666666,47.166666666666664,470.2916666666667,48.833333333333336,22.912499999999998,41.52916666666666,April,2018-04-23,Spring
2018-04-24T23:00:00+02:00,9.916666666666666,50.458333333333336,465.4166666666667,39.791666666666664,21.545833333333334,39.2125,April,2018-04-24,Spring
2018-04-25T23:00:00+02:00,13.291666666666666,43.708333333333336,478.125,45.541666666666664,21.72083333333333,43.29583333333333,April,2018-04-25,Spring
2018-04-26T23:00:00+02:00,10.083333333333334,48.541666666666664,474.4166666666667,42.125,20.025000000000002,33.62916666666667,April,2018-04-26,Spring
2018-04-27T23:00:00+02:00,21.75,61.375,465.5,51.166666666666664,20.412499999999998,33.425000000000004,April,2018-04-27,Spring
2018-04-28T23:00:00+02:00,9.166666666666666,44.416666666666664,468.4166666666667,35.0,20.158333333333335,39.025,April,2018-04-28,Spring
2018-04-29T23:00:00+02:00,14.833333333333334,44.25,465.9166666666667,25.5,19.341666666666665,49.32916666666667,April,2018-04-29,Spring
2018-04-30T23:00:00+02:00,15.083333333333334,40.791666666666664,487.125,34.416666666666664,17.233333333333334,52.76666666666667,April,2018-04-30,Spring
2018-05-01T23:00:00+02:00,10.375,42.333333333333336,465.0,19.708333333333332,16.212500000000002,42.74166666666667,May,2018-05-01,Spring
2018-05-02T23:00:00+02:00,27.916666666666668,55.083333333333336,482.75,48.666666666666664,17.5,38.875,May,2018-05-02,Spring
2018-05-03T23:00:00+02:00,16.208333333333332,47.875,492.25,42.458333333333336,18.3875,41.96666666666666,May,2018-05-03,Spring
2018-05-04T23:00:00+02:00,18.5,51.583333333333336,498.6666666666667,54.916666666666664,19.020833333333332,37.62916666666667,May,2018-05-04,Spring
2018-05-05T23:00:00+02:00,8.083333333333334,49.666666666666664,474.75,76.875,20.441666666666666,42.98333333333333,May,2018-05-05,Spring
2018-05-06T23:00:00+02:00,6.0,42.333333333333336,453.4583333333333,63.041666666666664,22.40833333333333,45.73333333333333,May,2018-05-06,Spring
2018-05-07T23:00:00+02:00,15.833333333333334,62.416666666666664,476.7083333333333,73.875,23.650000000000002,40.0625,May,2018-05-07,Spring
2018-05-08T23:00:00+02:00,12.791666666666666,50.916666666666664,470.875,151.08333333333334,24.191666666666666,38.11666666666667,May,2018-05-08,Spring
2018-05-09T23:00:00+02:00,16.75,43.5,459.5416666666667,78.20833333333333,23.0125,44.30833333333334,May,2018-05-09,Spring
2018-05-10T23:00:00+02:00,6.291666666666667,36.208333333333336,449.8333333333333,46.041666666666664,21.795833333333334,35.4625,May,2018-05-10,Spring
2018-05-11T23:00:00+02:00,11.708333333333334,49.958333333333336,469.0416666666667,44.875,21.212500000000002,33.6,May,2018-05-11,Spring
2018-05-12T23:00:00+02:00,15.958333333333334,51.583333333333336,476.0416666666667,42.208333333333336,22.462500000000002,43.3375,May,2018-05-12,Spring
2018-05-13T23:00:00+02:00,8.375,33.791666666666664,451.8333333333333,16.958333333333332,20.033333333333335,44.020833333333336,May,2018-05-13,Spring
2018-05-14T23:00:00+02:00,14.541666666666666,39.833333333333336,474.4166666666667,69.45833333333333,19.608333333333334,49.791666666666664,May,2018-05-14,Spring
2018-05-15T23:00:00+02:00,8.916666666666666,38.875,459.875,56.208333333333336,20.337500000000002,56.56666666666666,May,2018-05-15,Spring
2018-05-16T23:00:00+02:00,10.833333333333334,44.208333333333336,475.2916666666667,66.66666666666667,21.3,50.887499999999996,May,2018-05-16,Spring
