Rang,Réseau,Station,Trafic,Correspondance_1,Correspondance_2,Correspondance_3,Correspondance_4,Correspondance_5,Ville,Arrondissement,Année
185,Métro,SAINT AUGUSTIN,1934106,9,,,,,Paris,8,2021
186,Métro,PORTE DOREE,1918182,8,,,,,Paris,12,2021
187,Métro,CHAMPS ELYSEES CLEMENCEAU,1909005,1,13,,,,Paris,8,2021
189,Métro,LES AGNETTES,1890356,13,,,,,Asnières sur Seine,0,2021
194,Métro,TUILERIES,1859552,1,,,,,Paris,1,2021
198,Métro,LA FOURCHE,1829271,13,,,,,Paris,8,2021
233,Métro,ABBESSES,1513884,12,,,,,Paris,18,2021
241,Métro,MALESHERBES,1427143,3,,,,,Paris,17,2021
257,Métro,CLUNY LA SORBONNE,1261818,10,,,,,Paris,5,2021
259,Métro,RASPAIL,1238357,4,6,,,,Paris,14,2021
260,Métro,BOISSIERE,1224181,6,,,,,Paris,16,2021
263,Métro,MABILLON,1195051,10,,,,,Paris,6,2021
267,Métro,SAINT SEBASTIEN FROISSART,1151192,8,,,,,Paris,3,2021
278,Métro,SEGUR,1100151,10,,,,,Paris,15,2021
280,Métro,TRINITE D'ESTIENNE D'ORVES,1051982,12,,,,,Paris,9,2021
284,Métro,CITE,1004657,4,,,,,Paris,4,2021
290,Métro,VARENNE,782697,13,,,,,Paris,7,2021
291,Métro,SAINT GEORGES,751555,12,,,,,Paris,9,2021
296,Métro,ASSEMBLEE NATIONALE,611512,12,,,,,Paris,7,2021
302,Métro,BUTTES CHAUMONT,358301,7bis,,,,,Paris,19,2021
304,Métro,PELLEPORT,229524,3bis,,,,,Paris,20,2021
1,Métro,GARE DU NORD,34503097,4,5,,,,Paris,10,2021
2,Métro,SAINT LAZARE,33128384,3,9,12,13,14,Paris,8,2021
5,Métro,GARE DE L'EST,15538471,4,5,7,,,Paris,10,2021
11,Métro,BASTILLE,8069243,1,5,8,,,Paris,12,2021
18,Métro,FRANKLIN D. ROOSEVELT,6173830,1,9,,,,Paris,8,2021
19,Métro,MAIRIE DE MONTREUIL,6158487,9,,,,,Montreuil,0,2021
20,Métro,NATION,6050797,1,2,6,9,,Paris,12,2021
26,Métro,BARBES ROCHECHOUART,5390939,2,4,,,,Paris,18,2021
35,Métro,CHATILLON MONTROUGE,5034012,13,,,,,Chatillon,0,2021
39,Métro,MAIRIE DE SAINT OUEN,4830810,13,14,,,,Saint Ouen,0,2021
44,Métro,REUILLY DIDEROT,4580091,1,8,,,,Paris,12,2021
50,Métro,PONT CARDINET,4168538,14,,,,,Paris,17,2021
53,Métro,MAIRIE DE CLICHY,4043071,13,,,,,Clichy,0,2021
55,Métro,MARCADET POISSONNIERS,3982005,4,12,,,,Paris,18,2021
56,Métro,PYRAMIDES,3962698,7,14,,,,Paris,1,2021
62,Métro,MARCEL SEMBAT,3874792,9,,,,,Boulogne Billancourt,0,2021
63,Métro,GEORGE V,3842260,1,,,,,Paris,8,2021
66,Métro,GRANDS BOULEVARDS,3737316,8,9,,,,Paris,9,2021
67,Métro,CONVENTION,3734750,12,,,,,Paris,15,2021
72,Métro,VILLIERS,3586376,2,3,,,,Paris,17,2021
77,Métro,PIGALLE,3501831,2,12,,,,Paris,18,2021
78,Métro,PORTE DE SAINT CLOUD,3485946,9,,,,,Paris,16,2021
84,Métro,CLICHY SAINT OUEN,3420852,14,,,,,Saint ouen,0,2021
85,Métro,ANVERS,3420749,2,,,,,Paris,18,2021
90,Métro,BIR HAKEIM,3362908,6,,,,,Paris,15,2021
98,Métro,PORTE DES LILAS,3105016,3bis,11,,,,Paris,20,2021
111,Métro,PONT DE LEVALLOIS BECON,2984777,3,,,,,Levallois Perret,0,2021
112,Métro,LE KREMLIN BICETRE,2925325,7,,,,,Kremlin Bicêtre,0,2021
117,Métro,JULES JOFFRIN,2854819,12,,,,,Paris,18,2021
129,Métro,CHATEAU D'EAU,2687103,4,,,,,Paris,10,2021
133,Métro,DENFERT ROCHEREAU,2543959,4,6,,,,Paris,14,2021
134,Métro,CORENTIN CELTON,2504682,12,,,,,Issy Les Moulineaux,0,2021
140,Métro,ARTS ET METIERS,2403042,3,11,,,,Paris,3,2021
143,Métro,LES GOBELINS,2365942,7,,,,,Paris,13,2021
147,Métro,ANATOLE FRANCE,2311825,3,,,,,Levallois Perret,0,2021
149,Métro,TERNES,2292256,2,,,,,Paris,17,2021
169,Métro,BERAULT,2106827,1,,,,,Vincennes,0,2021
170,Métro,PORTE DE CHAMPERRET,2101673,3,,,,,Paris,17,2021
171,Métro,PASSY,2080548,6,,,,,Paris,16,2021
174,Métro,MAIRIE D'IVRY,2042071,7,,,,,Ivry,0,2021
175,Métro,PARMENTIER,2037234,3,,,,,Paris,11,2021
179,Métro,MARAICHERS,1994064,9,,,,,Paris,20,2021
180,Métro,BILLANCOURT,1967532,9,,,,,Boulogne Billancourt,0,2021
181,Métro,GARIBALDI,1965002,13,,,,,Saint Ouen,0,2021
190,Métro,JOURDAIN,1881321,11,,,,,Paris,20,2021
191,Métro,LAMARCK CAULAINCOURT,1875717,12,,,,,Paris,18,2021
199,Métro,RANELAGH,1779206,9,,,,,Paris,16,2021
200,Métro,VILLEJUIF PAUL VAILLANT COUTURIER,1764879,7,,,,,Villejuif,0,2021
207,Métro,LIBERTE,1704609,8,,,,,Charenton,0,2021
222,Métro,JAVEL ANDRE CITROEN,1589561,10,,,,,Paris,15,2021
224,Métro,COURCELLES,1583429,2,,,,,Paris,17,2021
232,Métro,FUNICULAIRE,1528671,2,,,,,Paris,18,2021
234,Métro,MICHEL ANGE AUTEUIL,1512050,9,10,,,,Paris,16,2021
236,Métro,PORTE D'ITALIE,1507152,7,,,,,Paris,13,2021
237,Métro,BREGUET SABIN,1490160,5,,,,,Paris,11,2021
238,Métro,NOTRE DAME DES CHAMPS,1487256,12,,,,,Paris,6,2021
239,Métro,MALAKOFF RUE ETIENNE DOLET,1450451,13,,,,,Malakoff,0,2021
243,Métro,MICHEL ANGE MOLITOR,1420552,9,10,,,,Paris,16,2021
245,Métro,SAINT JACQUES,1407837,6,,,,,Paris,13,2021
246,Métro,MICHEL BIZOT,1403416,8,,,,,Paris,12,2021
247,Métro,LA TOUR MAUBOURG,1361723,8,,,,,Paris,7,2021
250,Métro,VAVIN,1322588,4,,,,,Paris,14,2021
251,Métro,NATIONALE,1320290,6,,,,,Paris,13,2021
262,Métro,MAISON BLANCHE,1203631,7,,,,,Paris,13,2021
266,Métro,FELIX FAURE,1161978,8,,,,,Paris,15,2021
270,Métro,CHATEAU LANDON,1140353,7,,,,,Paris,10,2021
272,Métro,SULLY MORLAND,1124169,7,,,,,Paris,4,2021
275,Métro,EUROPE,1106459,3,,,,,Paris,8,2021
283,Métro,CAMPO FORMIO,1016150,5,,,,,Paris,13,2021
298,Métro,SAINT FARGEAU,472258,3bis,,,,,Paris,8,2021
300,Métro,PORTE D'AUTEUIL,375748,10,,,,,Paris,16,2021
6,Métro,BIBLIOTHEQUE,11104474,14,,,,,Paris,13,2021
10,Métro,CHATELET,8350794,1,4,7,11,14,Paris,1,2021
15,Métro,BOBIGNY PABLO PICASSO,6561327,5,,,,,Bobigny,0,2021
17,Métro,GARE D'AUSTERLITZ,6318543,5,10,,,,Paris,13,2021
21,Métro,HAVRE CAUMARTIN,5894982,3,9,,,,Paris,9,2021
23,Métro,AUBERVILLIERS PANTIN QUATRE CHEMINS,5616435,7,,,,,Aubervilliers,0,2021
28,Métro,TROCADERO,5284134,6,9,,,,Paris,16,2021
31,Métro,OLYMPIADES,5214595,14,,,,,Paris,13,2021
36,Métro,STALINGRAD,4924583,2,5,7,,,Paris,19,2021
37,Métro,LA COURNEUVE 8 MAI 1945,4924444,7,,,,,La Courneuve,0,2021
41,Métro,PONT DE NEUILLY,4809503,1,,,,,Neuilly Sur Seine,0,2021
42,Métro,GAMBETTA,4796724,3,3bis,,,,Paris,20,2021
43,Métro,ESPLANADE DE LA DEFENSE,4708183,1,,,,,Puteaux,0,2021
46,Métro,SAINT PAUL,4295823,1,,,,,Paris,4,2021
47,Métro,CHARLES DE GAULLE ETOILE,4291663,1,2,6,,,Paris,8,2021
57,Métro,LES SABLONS,3954920,1,,,,,Neuilly Sur Seine,0,2021
64,Métro,GABRIEL PERI,3790573,13,,,,,Asnières,0,2021
65,Métro,SAINT MICHEL,3747385,4,,,,,Paris,5,2021
68,Métro,CROIX DE CHAVAUX,3729545,9,,,,,Montreuil,0,2021
69,Métro,MIROMESNIL,3647255,9,13,,,,Paris,8,2021
75,Métro,CRIMEE,3543952,7,,,,,Paris,19,2021
79,Métro,INVALIDES,3482080,8,13,,,,Paris,7,2021
81,Métro,PERE LACHAISE,3465307,2,3,,,,Paris,20,2021
82,Métro,VOLTAIRE,3454006,9,,,,,Paris,11,2021
91,Métro,SAINT DENIS PORTE DE PARIS,3355836,13,,,,,Saint Denis,0,2021
93,Métro,PORTE DE VERSAILLES,3268157,12,,,,,Paris,15,2021
109,Métro,ROBESPIERRE,2986308,9,,,,,Montreuil,0,2021
130,Métro,DUROC,2645064,10,13,,,,Paris,7,2021
136,Métro,VAUGIRARD,2482886,12,,,,,Paris,15,2021
138,Métro,RUE DE LA POMPE,2449458,9,,,,,Paris,16,2021
139,Métro,MARX DORMOY,2425928,12,,,,,Paris,18,2021
142,Métro,SAINT GERMAIN DES PRES,2378860,4,,,,,Paris,6,2021
144,Métro,BOBIGNY PANTIN RAYMOND QUENEAU,2335465,5,,,,,Pantin,0,2021
152,Métro,BOUCICAUT,2288055,8,,,,,Paris,15,2021
166,Métro,COURONNES,2151515,2,,,,,Paris,11,2021
168,Métro,CRETEIL POINTE DU LAC,2114438,8,,,,,Créteil,0,2021
177,Métro,PORTE DAUPHINE,2021656,2,,,,,Paris,16,2021
178,Métro,SAINT MAUR,2004445,3,,,,,Paris,11,2021
183,Métro,FRONT POPULAIRE,1948542,12,,,,,Saint Denis / Aubervilliers,0,2021
193,Métro,PORTE DE LA CHAPELLE,1866281,12,,,,,Paris,18,2021
196,Métro,PLACE MONGE,1837996,7,,,,,Paris,6,2021
197,Métro,RUE DES BOULETS,1832442,9,,,,,Paris,11,2021
201,Métro,JACQUES BONSERGENT,1743989,5,,,,,Paris,10,2021
203,Métro,VOLONTAIRES,1734848,12,,,,,Paris,15,2021
205,Métro,BOURSE,1725043,3,,,,,Paris,2,2021
209,Métro,CORENTIN CARIOU,1697076,7,,,,,Paris,19,2021
210,Métro,LOURMEL,1696432,8,,,,,Paris,15,2021
211,Métro,ROME,1696331,2,,,,,Paris,17,2021
212,Métro,LE PELETIER,1677832,7,,,,,Paris,9,2021
216,Métro,GAITE,1644148,13,,,,,Paris,14,2021
217,Métro,TELEGRAPHE,1636898,11,,,,,Paris,20,2021
225,Métro,SAINT SULPICE,1571987,4,,,,,Paris,6,2021
227,Métro,LOUIS BLANC,1548029,7,7bis,,,,Paris,10,2021
229,Métro,BROCHANT,1543298,13,,,,,Paris,17,2021
235,Métro,WAGRAM,1508617,3,,,,,Paris,17,2021
244,Métro,JASMIN,1418238,9,,,,,Paris,16,2021
255,Métro,SOLFERINO,1269143,12,,,,,Paris,7,2021
261,Métro,SAINT FRANCOIS XAVIER,1213378,13,,,,,Paris,7,2021
265,Métro,QUATRE SEPTEMBRE,1165004,3,,,,,Paris,2,2021
269,Métro,LIEGE,1143956,13,,,,,Paris,8,2021
274,Métro,MONTGALLET,1108395,8,,,,,Paris,12,2021
281,Métro,AVENUE EMILE ZOLA,1041233,10,,,,,Paris,15,2021
285,Métro,MIRABEAU,1001302,10,,,,,Paris,16,2021
295,Métro,FALGUIERE,650291,12,,,,,Paris,15,2021
297,Métro,CHARDON LAGACHE,482053,10,,,,,Paris,16,2021
3,Métro,GARE DE LYON,28640475,1,14,A,,,Paris,12,2021
12,Métro,BELLEVILLE,7314438,2,11,,,,Paris,10,2021
32,Métro,OPERA,5193831,3,7,8,,,Paris,9,2021
58,Métro,SAINT MANDE TOURELLE,3944640,1,,,,,Saint Mandé,0,2021
59,Métro,HOCHE,3928404,5,,,,,Pantin,0,2021
61,Métro,BERCY,3884212,6,14,,,,Paris,12,2021
70,Métro,DAUMESNIL,3634023,6,8,,,,Paris,12,2021
74,Métro,SAINT DENIS UNIVERSITE,3569990,13,,,,,Saint Denis,0,2021
95,Métro,BALARD,3236801,8,,,,,Paris,15,2021
97,Métro,PEREIRE,3130190,3,,,,,Paris,17,2021
102,Métro,CHARLES MICHELS,3079569,10,,,,,Paris,15,2021
104,Métro,COLONEL FABIEN,3043606,2,,,,,Paris,10,2021
107,Métro,GLACIERE,3005750,6,,,,,Paris,13,2021
108,Métro,RICHELIEU DROUOT,2994510,8,9,,,,Paris,9,2021
118,Métro,MENILMONTANT,2847264,2,,,,,Paris,11,2021
122,Métro,LES COURTILLES,2802689,13,,,,,Asnières sur Seine,0,2021
125,Métro,PORTE DE SAINT OUEN,2710638,13,,,,,Paris,17,2021
146,Métro,PLACE DES FETES,2318764,7bis,11,,,,Paris,19,2021
151,Métro,PYRENEES,2288587,11,,,,,Paris,20,2021
159,Métro,GONCOURT,2199170,11,,,,,Paris,11,2021
160,Métro,FAIDHERBE CHALIGNY,2190416,8,,,,,Paris,12,2021
163,Métro,BLANCHE,2167570,2,,,,,Paris,9,2021
164,Métro,CHARENTON ECOLES,2164023,8,,,,,Charenton,0,2021
165,Métro,SAINT AMBROISE,2158466,9,,,,,Paris,11,2021
167,Métro,RAMBUTEAU,2127291,11,,,,,Paris,3,2021
176,Métro,DUPLEIX,2028963,6,,,,,Paris,15,2021
192,Métro,LOUVRE,1869612,1,,,,,Paris,1,2021
195,Métro,CADET,1843984,7,,,,,Paris,9,2021
202,Métro,QUAI DE LA GARE,1735465,6,,,,,Paris,13,2021
206,Métro,ETIENNE MARCEL,1705639,4,,,,,Paris,1,2021
208,Métro,MAISONS ALFORT STADE,1702479,8,,,,,Maisons  Alfort,0,2021
214,Métro,CRETEIL L'ECHAT,1660120,8,,,,,Créteil,0,2021
215,Métro,IENA,1646925,9,,,,,Paris,16,2021
218,Métro,CAMBRONNE,1636566,6,,,,,Paris,15,2021
219,Métro,EXELMANS,1607223,9,,,,,Paris,16,2021
220,Métro,BEL AIR,1605573,6,,,,,Paris,12,2021
226,Métro,CORVISART,1570331,6,,,,,Paris,13,2021
240,Métro,BUZENVAL,1448855,9,,,,,Paris,20,2021
242,Métro,RUE DU BAC,1423364,12,,,,,Paris,7,2021
252,Métro,MAISONS ALFORT LES JUILLIOTTES,1297495,8,,,,,Maisons  Alfort,0,2021
254,Métro,MAUBERT MUTUALITE,1280387,10,,,,,Paris,5,2021
256,Métro,PHILIPPE AUGUSTE,1262653,2,,,,,Paris,11,2021
258,Métro,SEVRES LECOURBE,1257040,6,,,,,Paris,15,2021
268,Métro,MONCEAU,1148677,2,,,,,Paris,17,2021
273,Métro,CARDINAL LEMOINE,1121854,10,,,,,Paris,5,2021
288,Métro,RENNES,861334,12,,,,,Paris,6,2021
292,Métro,VANEAU,725826,10,,,,,Paris,7,2021
293,Métro,KLEBER,724215,6,,,,,Paris,16,2021
294,Métro,BOTZARIS,669323,7bis,,,,,Paris,19,2021
301,Métro,BOLIVAR,367598,7bis,,,,,Paris,19,2021
305,Métro,EGLISE D'AUTEUIL,124941,10,,,,,Paris,16,2021
4,Métro,MONTPARNASSE BIENVENUE,20407224,4,6,12,13,,Paris,14,2021
8,Métro,LES HALLES,10623876,4,,,,,Paris,1,2021
14,Métro,PLACE D'ITALIE,7119097,5,6,7,,,Paris,13,2021
16,Métro,STRASBOURG SAINT DENIS,6345770,4,8,9,,,Paris,2,2021
22,Métro,CHATEAU ROUGE,5841122,4,,,,,Paris,18,2021
24,Métro,PORTE DE CLIGNANCOURT,5611814,4,,,,,Paris,18,2021
25,Métro,PORTE DE VINCENNES,5446602,1,,,,,Paris,12,2021
27,Métro,MADELEINE,5330928,8,12,14,,,Paris,8,2021
29,Métro,PORTE DE CLICHY,5278497,13,14,,,,Paris,17,2021
33,Métro,PLACE CLICHY,5161932,2,13,,,,Paris,17,2021
34,Métro,LA MOTTE PICQUET GRENELLE,5117708,6,8,10,,,Paris,15,2021
38,Métro,LA CHAPELLE,4855531,2,,,,,Paris,9,2021
45,Métro,MAIRIE DE MONTROUGE,4316647,4,,,,,Montrouge,0,2021
48,Métro,CHAUSSEE D'ANTIN LA FAYETTE,4251916,7,9,,,,Paris,9,2021
49,Métro,PORTE D'ORLEANS,4175817,4,,,,,Paris,14,2021
51,Métro,PORTE MAILLOT,4138301,1,,,,,Paris,16,2021
52,Métro,JAURES,4055461,2,5,7bis,,,Paris,19,2021
60,Métro,GALLIENI,3899195,3,,,,,Bagnolet,0,2021
71,Métro,CHATEAU DE VINCENNES,3617738,1,,,,,Vincennes,0,2021
73,Métro,REAUMUR SEBASTOPOL,3579544,3,4,,,,Paris,3,2021
83,Métro,PONT DE SEVRES,3430203,9,,,,,Boulogne Billancourt,0,2021
87,Métro,PORTE DE VANVES,3395358,13,,,,,Paris,14,2021
88,Métro,SEVRES BABYLONE,3392504,10,12,,,,Paris,7,2021
89,Métro,PORTE DE PANTIN,3374733,5,,,,,Paris,19,2021
103,Métro,PORTE DE MONTREUIL,3067413,9,,,,,Paris,20,2021
106,Métro,LA MUETTE,3010370,9,,,,,Paris,16,2021
110,Métro,COUR SAINT EMILION,2985122,14,,,,,Paris,12,2021
114,Métro,JUSSIEU,2889642,7,10,,,,Paris,5,2021
115,Métro,MAIRIE D'ISSY,2874138,12,,,,,Issy Les Moulineaux,0,2021
119,Métro,EGLISE DE PANTIN,2832467,5,,,,,Pantin,0,2021
120,Métro,BONNE NOUVELLE,2806227,8,9,,,,Paris,10,2021
124,Métro,CHEVALERET,2748696,6,,,,,Paris,13,2021
127,Métro,CHARONNE,2705320,9,,,,,Paris,12,2021
132,Métro,ALMA MARCEAU,2564842,9,,,,,Paris,8,2021
135,Métro,CRETEIL UNIVERSITE,2496595,8,,,,,Créteil,0,2021
148,Métro,POISSONNIERE,2306725,7,,,,,Paris,10,2021
153,Métro,TOLBIAC,2287918,7,,,,,Paris,13,2021
154,Métro,ECOLE VETERINAIRE DE MAISONS ALFORT,2269487,8,,,,,Maisons  Alfort,0,2021
156,Métro,SENTIER,2222744,3,,,,,Paris,3,2021
157,Métro,COMMERCE,2212666,8,,,,,Paris,15,2021
162,Métro,PERNETY,2173567,13,,,,,Paris,14,2021
182,Métro,VILLEJUIF LEO LAGRANGE,1952627,7,,,,,Villejuif,0,2021
184,Métro,SAINT PHILIPPE DU ROULE,1935004,9,,,,,Paris,8,2021
188,Métro,NOTRE DAME DE LORETTE,1893828,12,,,,,Paris,9,2021
204,Métro,DUGOMMIER,1725412,6,,,,,Paris,12,2021
213,Métro,SAINT MARCEL,1666744,5,,,,,Paris,13,2021
221,Métro,PORTE DE CHOISY,1592144,7,,,,,Paris,13,2021
223,Métro,RIQUET,1588438,7,,,,,Paris,19,2021
228,Métro,RICHARD LENOIR,1544636,5,,,,,Paris,11,2021
230,Métro,CARREFOUR PLEYEL,1535528,13,,,,,Saint Denis,0,2021
231,Métro,PORTE DE CHARENTON,1529778,8,,,,,Paris,12,2021
248,Métro,EDGAR QUINET,1349178,6,,,,,Paris,14,2021
249,Métro,AVRON,1345521,2,,,,,Paris,11,2021
253,Métro,PORTE D'IVRY,1282199,7,,,,,Paris,13,2021
264,Métro,PONT NEUF,1188930,7,,,,,Paris,4,2021
271,Métro,MOUTON DUVERNET,1131403,4,,,,,Paris,14,2021
276,Métro,PONT MARIE,1101482,7,,,,,Paris,4,2021
277,Métro,PIERRE CURIE,1100552,7,,,,,Ivry,0,2021
279,Métro,FILLES DU CALVAIRE,1093673,8,,,,,Paris,3,2021
282,Métro,CHEMIN VERT,1018958,8,,,,,Paris,11,2021
286,Métro,PICPUS,931602,6,,,,,Paris,12,2021
287,Métro,TEMPLE,891858,3,,,,,Paris,2,2021
289,Métro,QUAI DE LA RAPEE,798728,5,,,,,Paris,12,2021
299,Métro,DANUBE,400157,7bis,,,,,Paris,19,2021
303,Métro,PRE SAINT GERVAIS,282626,7bis,,,,,Paris,19,2021
